Zscore,Sex
0.196605738,females
0.46646364,females
-0.333853636,females
0.314147793,females
-0.145758182,females
0.211320545,females
0.193621727,females
-0.053410909,females
0.016043727,females
-0.17616957,females
0.055137436,females
-0.445741392,females
0.072900455,Males
-0.454832727,Males
0.412084455,Males
-0.785240865,Males
-0.107868515,Males
-0.926414761,Males
0.370277727,Males
-0.083318182,Males
0.109298909,Males
-0.143164545,Males
-0.054383636,Males
0.240712909,Males
-0.611976364,Males
-0.870956364,Males
-0.554346364,Males
-0.083489091,Males
