Time(s),F69-1-AnoChasing,F69-2-AnoMutual,F69-3-AnoMutual,F69-4-N-N,F69-5-Body,H25-1-Body/Ano,H25-2-N-N,H25-3-N-N,H25-4-N-N,H25-5-N-N,H28-1-N-N,H28-2-N-N,H28-3-Ano,H28-4-Ano/Body,H28-5-N-N,H82-1-AnoMutual,H82-2-N-N/AnoChasing,H82-3-N-N,H82-4-BodyMutual,H82-5-N-N
-10,0.224974892,0.17658592,0.050933822,-0.212585571,0.189819717,0.211842349,-0.050369683,0.171428212,0.049046966*,-0.027138491,0.059205,-0.26037,-0.00774,-0.00681,0.059387,-0.1622,0.039053,0.032201,-0.06025,0.064937
-9.99,0.224516892,0.17659892,0.052108822,-0.210575571,0.191666717,0.212011349,-0.052896683,0.169254212,0.050775966*,-0.027001491,0.058079,-0.26085,-0.00517,-0.00835,0.058294,-0.16397,0.039193,0.031327,-0.06036,0.064951
-9.98,0.224025892,0.17658492,0.053290822,-0.208536571,0.193467717,0.212162349,-0.055395683,0.167074212,0.052487966*,-0.026874491,0.056966,-0.26131,-0.00262,-0.00989,0.057185,-0.16572,0.039327,0.030458,-0.06046,0.064967
-9.97,0.223502892,0.17654392,0.054480822,-0.206469571,0.195222717,0.212295349,-0.057868683,0.164890212,0.054182966*,-0.026756491,0.055865,-0.26175,-0.0001,-0.01141,0.056061,-0.16745,0.039454,0.029593,-0.06053,0.064987
-9.96,0.222946892,0.17647592,0.055676822,-0.204375571,0.196930717,0.212410349,-0.060312683,0.162701212,0.055860966*,-0.026647491,0.054777,-0.26218,0.002389,-0.01292,0.054922,-0.16917,0.039577,0.028732,-0.06059,0.065009
-9.95,0.222357892,0.17638192,0.056879822,-0.202253571,0.198591717,0.212505349,-0.062728683,0.160508212,0.057520966*,-0.026548491,0.053701,-0.2626,0.004854,-0.01443,0.053767,-0.17087,0.039693,0.027876,-0.06064,0.065035
-9.94,0.221736892,0.17625992,0.058087822,-0.200104571,0.200205717,0.212580349,-0.065116683,0.158312212,0.059162966*,-0.026458491,0.052639,-0.263,0.007293,-0.01593,0.052598,-0.17255,0.039803,0.027025,-0.06067,0.065063
-9.93,0.221082892,0.17611092,0.059300822,-0.197929571,0.201773717,0.212636349,-0.067474683,0.156113212,0.060787966*,-0.026378491,0.051589,-0.26338,0.009704,-0.01741,0.051415,-0.17421,0.039908,0.026179,-0.06068,0.065095
-9.92,0.220397892,0.17593392,0.060518822,-0.195729571,0.203293717,0.212672349,-0.069804683,0.153910212,0.062393966*,-0.026308491,0.050552,-0.26375,0.012087,-0.01889,0.050218,-0.17586,0.040007,0.025338,-0.06068,0.065131
-9.91,0.219678892,0.17573092,0.061741822,-0.193503571,0.204766717,0.212688349,-0.072103683,0.151706212,0.063980966*,-0.026247491,0.049528,-0.2641,0.014442,-0.02036,0.049007,-0.17749,0.040101,0.024503,-0.06066,0.065169
